wave23	wave24	wave25	wave32	wave33	wave34	W_coef
391.2355	27.36222353	14.68209	419.8136	29.3326142	15.47212	-122.9300744546538
419.9131	29.339474447	15.47502	491.0653	34.2452459	17.937479	24.24724229020557
448.6837	31.323137489	16.374548	461.4594	32.203991	16.813338	-1.511461184401346
479.3758	33.439283292	17.47341	431.8395	30.1617708	15.834757	0.04612876146185308
509.4333	35.511674965	18.723247	400.9998	28.0354483	14.942043	-0.0005570668686665729
519.6967	36.219311485	19.19719				
491.6713	34.287028175	17.961939				
461.5237	32.208424325	16.815603				
431.0442	30.106936776	15.810161				
401.7295	28.08575936	14.961613				
409.8619	28.646468602	15.18644				
439.1895	30.668535442	16.06519				
439.0541	30.659199941	16.060703				
471.0593	32.865880802	17.15966				
499.2622	34.810402306	18.278642				
503.3302	35.090881033	18.453708				
503.1117	35.075815988	18.44417				
